ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
11,FADH2|,C27H33N9O15P2,-2,"ring -N< : 2 | two fused rings >C= : 4 | aromatic ring fused to nonaromatic ring >C=  : 2 | -CH2- : 3 | aromatic ring =CH- : 2 | >CH- : 3 | ring -NH- : 3 | ring >C=O : 2 | aromatic ring =C< : 2 | -OH : 5 | -CH3 : 2 | -OPO3- : 1 | -OPO2- : 1 | ring -CH< : 4 | ring -O- : 1 | ring =CH- : 2 | ring =N- : 3 | ring =C< : 1 | -NH2 : 1 | amide : 2 | Origin : 1 | OCCC : 1 | heteroaromatic : 2",-538.18,5.11,,Cc1cc2Nc3c([nH]c(=O)[nH]c3=O)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C,
12,lysozyme|,C6H8N3O4R3,0,">C=O : 2 | >CH- : 3 | RW : 3 | -COO : 1 | -NH3 : 1 | amide : 2 | -NH- : 2 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
13,AMP|,C10H13N5O7P,-1,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-257.85,3.03,,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,
14,S-adenosyl-L-homocysteine|,C14H20N6O5S,0,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 3 | -S- : 1 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1 | heteroaromatic : 2",-76.11,3.14,,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O,
15,pyruvate|pyr|,C3H3O3,-1,">C=O : 1 | -COO : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",-112.69,0.3,,CC(=O)C([O-])=O,
16,acetyl-CoA|accoa|,C23H35N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 6 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-785.83,3.53,,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
17,alpha-ketoglutarate|akg|,C5H4O5,-2,">C=O : 1 | -CH2- : 2 | -COO : 2 | Origin : 1 | OCCO : 1",-188.9,0.38,,[O-]C(=O)CCC(=O)C([O-])=O,
18,"hydrogen peroxide|",H2O2,0,"H2O2 : 1",-32.05,0.5,,[H]OO[H],
19,GDP|,C10H13N5O11P2,-2,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 1 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-516.3,2.74,,Nc1nc(O)c2ncn(C3O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)c2n1,
20,oxaloacetate|oaa|,C4H2O5,-2,">C=O : 1 | -CH2- : 1 | -COO : 2 | Origin : 1 | OCCO : 1",-190.52,0.35,,OC(=O)CC(=O)C(O)=O,
21,glycine|gly|,C2H5NO2,0,"-COO : 1 | -CH2- : 1 | -NH3 : 1 | Origin : 1",-87.73,0.24,,NCC(O)=O,
22,9/20-DNA-oligomer|,C5H8O3R2,0,"ring -CH< : 3 | ring -CH2- : 1 | ring -O- : 1 | -CH2- : 1 | RW : 2 | -OH : 1 | -O- : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
23,succinate|succ|,C4H4O4,-2,"-COO : 2 | -CH2- : 2 | Origin : 1",-162.96,0.28,,[O-]C(=O)CCC([O-])=O,
24,UDP-N-acetyl-D-glucosamine|,C17H25N3O17P2,-2,"ring -CH< : 9 | ring -O- : 2 | ring >C=O : 2 | ring =CH- : 2 | -OH : 5 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | >C=O : 1 | -CH3 : 1 | amide : 3 | ring -N< : 1 | ring -NH- : 1 | -NH- : 1 | Origin : 1 | OCCC : 1",-756.9,3.24,,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O,
25,GTP|,C10H13N5O14P3,-3,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 1 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-724.3,2.75,,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,
26,glyoxylate|glx|,C2HO3,-1,"-COO : 1 | -CH=O : 1 | Origin : 1 | OCCO : 1",-111.04,0.27,,[H]C(=O)C([O-])=O,
27,L-aspartate|asp-L|,C4H6NO4,-1,">CH- : 1 | -CH2- : 1 | -COO : 2 | -NH3 : 1 | Origin : 1",-165.75,0.34,,[NH3+][C@@H](CC([O-])=O)C([O-])=O,
28,reduced-glutathione|,C10H16N3O6S,-1,">CH- : 2 | >C=O : 2 | -CH2- : 4 | -SH : 1 | -COO : 2 | -NH3 : 1 | amide : 2 | -NH- : 2 | Origin : 1",-220.95,1.54,,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,
29,UDPgalactose|UDPglucose|,C15H22N2O17P2,-2,"ring -CH< : 9 | ring -O- : 2 | ring >C=O : 2 | ring =CH- : 2 | -OH : 6 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-762.55,3.12,,OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@H]1O,
30,3'-phosphoadenylylsulfate|,C10H12N5O13P2S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 1 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 1 | -NH2 : 1 | -OPO2- : 1 | -SO4 : 1 | Origin : 1 | heteroaromatic : 2",-580.35,3.11,,,"no exact name match in CHEBI"
31,CMP|,C9H13N3O8P,-1,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -OPO3 : 1 | -NH2 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-345.38,1.92,,Nc1ccn([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1,
32,formate|for|,CHO2,-1,"formate : 1",-83.9,0.5,,[H]C([O-])=O,
33,sulfate|so4|,O4S,-2,"sulfate : 1",-177.97,0.5,,[O-]S([O-])(=O)=O,
34,FMNH2|fmnred|,C17H22N4O9P,-1,"ring -N< : 1 | aromatic ring fused to nonaromatic ring >C=  : 2 | two fused rings >C= : 2 | -CH2- : 2 | aromatic ring =CH- : 2 | >CH- : 3 | ring -NH- : 3 | aromatic ring =C< : 2 | ring >C=O : 2 | -OH : 3 | -CH3 : 2 | -OPO3 : 1 | amide : 2 | Origin : 1 | OCCC : 1",-346.33,3.06,,Cc1cc2Nc3c([nH]c(=O)[nH]c3=O)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)c2cc1C,
35,L-arginine|arg|,C6H15N4O2,1,"-CH2- : 3 | >CH- : 1 | -COO : 1 | -NH3 : 1 | -NH- : 1 | =C< : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-73.77,1.56,,N[C@@H](CCCNC(N)=N)C(O)=O,
36,CTP|,C9H13N3O14P3,-3,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -OPO2- : 2 | -NH2 : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-761.38,1.93,,Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1,
37,L-glutamine|gln-L|,C5H10N2O3,0,">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-121.69,0.61,,N[C@@H](CCC(N)=O)C(O)=O,
38,formaldehyde|fald|,CH2O,0,"formaldehyde : 1",-31.2,0.5,,[H]C([H])=O,
39,L-methionine|met-L|,C5H11NO2S,0,">CH- : 1 | -COO : 1 | -CH2- : 2 | -NH3 : 1 | -S- : 1 | -CH3 : 1 | Origin : 1",-75.91,0.82,,CSCC[C@H](N)C(O)=O,
40,phosphoenolpyruvate|pep|,C3H3O6P,-2,"-OPO3 : 1 | =C< : 1 | -COO : 1 | =CH2 : 1 | Origin : 1 | OCCC : 1",-316.08,0.59,,OP(O)(=O)OC(=C)C([O-])=O,
41,UTP|,C9H12N2O15P3,-3,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 2 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-813.77,1.9,,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O,
42,L-tryptophan|trp-L|,C11H12N2O2,0,"aromatic ring fused to nonaromatic ring >C=  : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | -CH2- : 1 | ring =CH- : 1 | ring -NH- : 1 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1 | heteroaromatic : 1",-25,1.58,,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,
43,L-phenylalanine|phe-L|,C9H11NO2,0,"aromatic ring =C< : 1 | -CH2- : 1 | aromatic ring =CH- : 5 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1",-51.05,0.83,,N[C@@H](Cc1ccccc1)C(O)=O,
44,H|H+|h|,H,1,"H : 1",-9.53,0,,,"no exact name match in CHEBI"
45,ITP|,C10H12N4O14P3,-3,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 2 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-729.58,2.75,,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O,
46,L-tyrosine|tyr-L|,C9H11NO3,0,">CH- : 1 | -COO : 1 | -CH2- : 1 | -NH3 : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -OH : 1 | Origin : 1",-90.53,0.9,,N[C@@H](Cc1ccc(O)cc1)C(O)=O,
47,malonyl-CoA|,C24H34N7O19P3S,-4,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-863.66,3.54,,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O,
48,acetaldehyde|acald|,C2H4O,0,"acetaldehyde : 1",-33.4,0.5,,[H]C(C)=O,
49,"D-fructose 6-phosphate|",C6H12O9P,-1,"ring -CH< : 3 | ring -O- : 1 | -CH2- : 2 | ring >C< : 1 | -OH : 4 | -OPO3 : 1 | Origin : 1",-431.67,1.31,,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(=O)CO,
50,urea|,CH4N2O,0,"urea : 1",-48.7,0.5,,NC(N)=O,
51,sucrose|sucr|,C12H22O11,0,"ring >C< : 1 | -O- : 1 | ring -O- : 2 | ring -CH< : 8 | -CH2- : 3 | -OH : 8 | Origin : 1",-377.65,2.77,,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
52,succinyl-CoA|succoa|,C25H36N7O19P3S,-4,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 8 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-862.04,3.56,,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O,
53,glycerophosphate|glyc3p|,C3H8O6P,-1,"-OPO3 : 1 | -CH2- : 2 | >CH- : 1 | -OH : 2 | Origin : 1",-328.68,0.38,,,"no exact name match in CHEBI"
54,beta-alanine|,C3H7NO2,0,"-CH2- : 2 | -COO : 1 | -NH3 : 1 | Origin : 1",-86.11,0.29,,NCCC(O)=O,
55,propanoyl-CoA|,C24H37N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-784.21,3.55,,,"no exact name match in CHEBI"
56,IDP|,C10H12N4O11P2,-2,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 2 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-521.58,2.75,,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O,
57,UMP|,C9H12N2O9P,-1,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-397.77,1.88,,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O,
58,uracil|,C4H4N2O2,0,"ring >C=O : 2 | ring =CH- : 2 | amide : 2 | ring -NH- : 2 | Origin : 1 | OCCC : 1",-61.07,1.54,,O=C1NC=CC(=O)N1,
59,2-oxobutanoate|,C4H5O3,-1,">C=O : 1 | -COO : 1 | -CH2- : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",-111.07,0.31,,CCC(=O)C([O-])=O,
60,CDP|,C9H13N3O11P2,-2,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -OPO2- : 1 | -NH2 : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-553.38,1.92,,Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1,
61,choline|,C5H14NO,1,"-CH2- : 2 | >N< : 1 | -CH3 : 3 | -OH : 1 | Origin : 1",12.19,1.97,,C[N+](C)(C)CCO,
62,glycerol|glyc|,C3H8O3,0,">CH- : 1 | -CH2- : 2 | -OH : 3 | Origin : 1",-116.18,0.44,,OCC(O)CO,
63,"D-ribose 5-phosphate|",C5H10O8P,-1,"-OPO3 : 1 | -CH2- : 1 | ring -CH< : 4 | ring -O- : 1 | -OH : 3 | Origin : 1",-394.12,1.32,,O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)C=O,
64,5-phospho-alpha-D-ribose-1-diphosphate|,C5H10O14P3,-3,"ring -CH< : 4 | ring -O- : 1 | -OPO2- : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 2 | Origin : 1",-814.62,1.32,,,"no exact name match in CHEBI"
65,D-ribose|rib-D|,C5H10O5,0,"ring -CH< : 4 | ring -O- : 1 | -CH2- : 1 | -OH : 4 | Origin : 1",-181.62,1.35,,,
66,leucine|leu|,C6H13NO2,0,">CH- : 2 | -CH2- : 1 | -COO : 1 | -NH3 : 1 | -CH3 : 2 | Origin : 1",-84.87,0.45,,CC(C)CC(N)C(O)=O,
67,glutathione-ox|,C20H30N6O12S2,-2,">CH- : 4 | >C=O : 4 | -CH2- : 8 | -S-S- : 1 | -COO : 4 | -NH3 : 2 | amide : 4 | -NH- : 4 | Origin : 1",-434.73,3.06,,,"no exact name match in CHEBI"
68,isopentenyl-diphosphate|,C5H10O7P2,-2,"-OPO2- : 1 | -OPO3 : 1 | -CH2- : 2 | =C< : 1 | -CH3 : 1 | =CH2 : 1 | Origin : 1",-439.84,0.58,,CC(=C)CCOP(O)(=O)OP(O)(O)=O,
69,IMP|,C10H12N4O8P,-1,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-313.58,2.74,,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O,
70,dATP|,C10H13N5O12P3,-3,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 3 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring -CH2- : 1 | ring =C< : 1 | -NH2 : 1 | -CH2- : 1 | -OH : 1 | -OPO2- : 2 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-634.01,2.99,,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,
71,methanol|,CH4O,0,"methanol : 1",-41.9,0.5,,CO,
72,alanine|ala|,C3H7NO2,0,">CH- : 1 | -COO : 1 | -CH3 : 1 | -NH3 : 1 | Origin : 1",-87.92,0.29,,CC(N)C(O)=O,
73,L-histidine|,C6H9N3O2,0,"ring =C< : 1 | -CH2- : 1 | ring =CH- : 2 | ring =N- : 1 | >CH- : 1 | ring -NH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1 | heteroaromatic : 1",-45.63,1.13,,N[C@@H](Cc1c[nH]cn1)C(O)=O,
74,myo-inositol|,C6H12O6,0,"ring -CH< : 6 | -OH : 6 | Origin : 1",-219.96,1.5,,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,
75,GMP|,C10H13N5O8P,-1,"two fused rings >C= : 2 | ring -N< : 1 | ring =N- : 2 | ring -CH< : 4 | ring =CH- : 1 | ring >C=O : 1 | ring =C< : 1 | ring -O- : 1 | -NH2 : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-308.3,2.74,,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,
76,phenol|,C6H6O,0,"aromatic ring =C< : 1 | aromatic ring =CH- : 5 | -OH : 1 | Origin : 1",-9.9,0.79,,Oc1ccccc1,
77,adenine|,C5H5N5,0,"two fused rings >C= : 2 | ring =C< : 1 | ring =N- : 3 | ring -NH- : 1 | -NH2 : 1 | ring =CH- : 2 | Origin : 1 | heteroaromatic : 2",78.85,2.73,,Nc1ncnc2[nH]cnc12,
78,S-proline|,C5H8NO2,-1,"ring -CH< : 1 | -COO : 1 | ring -CH2- : 3 | ring -NH- : 1 | Origin : 1",-62.54,0.94,,OC(=O)[C@@H]1CCCN1,
79,L-asparagine|asn-L|,C4H8N2O3,0,">CH- : 1 | -CH2- : 1 | -COO : 1 | -NH3 : 1 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-123.31,0.59,,N[C@@H](CC(N)=O)C(O)=O,
80,nicotinamide|,C6H6N2O,0,"ring =C< : 1 | ring =CH- : 4 | >C=O : 1 | ring =N- : 1 | amide : 1 | -NH2 : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",5.55,1.51,,NC(=O)c1cccnc1,
